"std_version","term_id","canonical_term","prompt_id","user_prompt","expected_output_kind","expected_output_payload","author","date_added","source_url"
"v1.0","CAT-MIP-08072025-000000010","Access Point","CAT-MIP-08072025-000000010-p01","List all access points at the Denver office and their client count.","action_hints","{""action_hints"":[]}","Roop Petersen","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000010","Access Point","CAT-MIP-08072025-000000010-p02","Restart the rooftop access point remotely due to packet loss reports.","action_hints","{""action_hints"":[]}","Roop Petersen","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000010","Access Point","CAT-MIP-08072025-000000010-p03","Which access points are using outdated firmware?","action_hints","{""action_hints"":[]}","Roop Petersen","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000010","Access Point","CAT-MIP-08072025-000000010-p04","Configure SSID and VLAN tagging on all indoor access points.","action_hints","{""action_hints"":[]}","Roop Petersen","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000011","Account","CAT-MIP-08072025-000000011-p01","Get a list of all tenants with over 100 devices.","action_hints","{""action_hints"":[""Attempt to infer the intended object (Tenant, MSP, Customer, etc.)"",""Prompt for clarification if multiple interpretations are possible"",""If inference succeeds, resolve the term to the correct object type and execute accordingly"",""This behavior increases the risk of misinterpretation and is not recommended""]}","Nicole Reineke","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000011","Account","CAT-MIP-08072025-000000011-p02","Which MSPs or tenants are overdue on patch compliance?","action_hints","{""action_hints"":[""Attempt to infer the intended object (Tenant, MSP, Customer, etc.)"",""Prompt for clarification if multiple interpretations are possible"",""If inference succeeds, resolve the term to the correct object type and execute accordingly"",""This behavior increases the risk of misinterpretation and is not recommended""]}","Nicole Reineke","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000011","Account","CAT-MIP-08072025-000000011-p03","Send onboarding materials to new MSPs and distributors.","action_hints","{""action_hints"":[""Attempt to infer the intended object (Tenant, MSP, Customer, etc.)"",""Prompt for clarification if multiple interpretations are possible"",""If inference succeeds, resolve the term to the correct object type and execute accordingly"",""This behavior increases the risk of misinterpretation and is not recommended""]}","Nicole Reineke","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000021","Agent","CAT-MIP-08072025-000000021-p01","Check if the N-central agent is online on device ‘HR-LT-003’.","action_hints","{""action_hints"":[""Identify the installed agent on the specified device(s)"",""Check health, version, and last check-in time"",""Determine the agent’s capabilities (e.g., scripting, monitoring, backup)"",""Initiate agent-driven tasks such as running scripts, collecting metrics, or applying policies"",""Return results or errors from agent-initiated actions""]}","Nicole Reineke","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000021","Agent","CAT-MIP-08072025-000000021-p02","List all agents running outdated versions across the ‘Finance’ tenant.","action_hints","{""action_hints"":[""Identify the installed agent on the specified device(s)"",""Check health, version, and last check-in time"",""Determine the agent’s capabilities (e.g., scripting, monitoring, backup)"",""Initiate agent-driven tasks such as running scripts, collecting metrics, or applying policies"",""Return results or errors from agent-initiated actions""]}","Nicole Reineke","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
"v1.0","CAT-MIP-08072025-000000021","Agent","CAT-MIP-08072025-000000021-p03","Trigger the backup task via the local agent on all Windows servers.","action_hints","{""action_hints"":[""Identify the installed agent on the specified device(s)"",""Check health, version, and last check-in time"",""Determine the agent’s capabilities (e.g., scripting, monitoring, backup)"",""Initiate agent-driven tasks such as running scripts, collecting metrics, or applying policies"",""Return results or errors from agent-initiated actions""]}","Nicole Reineke","2025-08-07T00:00:00Z","https://cat-mip.org/standard/v1-0/"
